page_id,post_id,post_url,datetime,text,images
ThoBayMau,997120655312000,https://facebook.com/997120655312000,2024-05-05 14:24:00,Và t đã trở lại cùng cơn mưa,https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/440084420_997120588645340_1403955908289133447_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFoxwPD1InNiq6lr9_jk2Doi2a-gP-8wdmLZr6A_7zB2ZaS79bAJetMQznsdVGsaN2q3qrNy36sDqkCwWHJ32jT&_nc_ohc=K-evvmtk_GcQ7kNvgEzkbYb&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYCmnG4FYfzCdmWicIrbZlLswst41ndzMK3I3t6wt0RyQg&oe=66528FAB
ThoBayMau,986106676413398,https://facebook.com/986106676413398,2024-04-17 20:00:00,Ong già đã phản bội chỉ vì t chậm chân ,https://scontent.fhan5-5.fna.fbcdn.net/v/t39.30808-6/437741455_986106503080082_8459217466072745359_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEt5rn_xvUEq0OtdsvDAQam1_S8S3uEsD7X9LxLe4SwPrXbLYV4ZcG2c6FoGhECDcNWp4GZRh93rU5cgND86OCr&_nc_ohc=9orkbjrjvQMQ7kNvgHlMEs9&_nc_zt=23&_nc_ht=scontent.fhan5-5.fna&cb_e2o_trans=q&oh=00_AYCP1KMw9Hfr16Mp_HLobxOnQ_UZiMgpB4G26Yab1RWHlQ&oe=66529612
ThoBayMau,984885456535520,https://facebook.com/984885456535520,2024-04-15 20:19:00,Võ công trong thiên hạ ko gì có thể qua được tốc độ bàn thờ ,https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/438216497_984998209857578_1386224032207202736_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGSfhhN2HzolbMdw6zx_bXE9Jo5-K6wvbb0mjn4rrC9tooUDSoWDhN6db6LNKzeFjSg9tQ-pcusAtkoLW5ZTc-7&_nc_ohc=bB0kW79FAHgQ7kNvgFoXP37&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYBAoVCuJTwrnBY3zyPGXTGvlGlUVBGg0VAFDdqqRUC5SQ&oe=66528272   https://static.xx.fbcdn.net/images/emoji.php/v9/t6f/1/16/1f612.png
ThoBayMau,977704610586938,https://facebook.com/977704610586938,2024-04-03 20:08:00,"Yoosun Rau má thay áo mới cùng công dụng vẫn vô cùng yêu thương: làm dịu các vết muỗi đốt, rôm sảy, mẩn ngứa, bỏng nhẹ, vết thâm ngoài da. Tuyệt đối ko đc uống vì sản phẩm mát lành nhưng ko thể làm dịu đi vết thương trong lòng
#Yoosunrauma #Dienmaomoi #Chaotuoi20",https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/434658971_977704587253607_8206197679389159546_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFN3hZEvX_fpqaGlArozoquSYHHuMV06WFJgce4xXTpYY57uLdL9j2lIHJRkr9kGtNUmcY8KZSrLJX5TlxoW_7z&_nc_ohc=u5-hWeP-IeUQ7kNvgGxmZ3b&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYANCOnXS6ZcdbgoG_fS71mXBHzwOI9h94L2arq6b0tnsw&oe=66529F1C
EnComics,456595947061467,https://facebook.com/456595947061467,2024-05-21 20:54:52.375277,,https://scontent.fhan5-3.fna.fbcdn.net/v/t39.30808-6/445574734_456595817061480_7023312171036594995_n.jpg?stp=dst-jpg_s640x640&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG-YXP0ZJXIBvf9zDYBi_TXRXonfe4gDiNFeid97iAOI8Er_YtO1Ep9jm1JcEMHHikGnRftQmDnQy3syR2WcDA4&_nc_ohc=wmbzXDQa5fsQ7kNvgHBLYAA&_nc_zt=23&_nc_ht=scontent.fhan5-3.fna&cb_e2o_trans=q&oh=00_AYC88ml6m7wdFZj-G7pFKEVFusHpauf8cA5Rx6BcahoX5Q&oe=665275A6   https://static.xx.fbcdn.net/images/emoji.php/v9/td7/1/16/1f928.png
EnComics,454376733950055,https://facebook.com/454376733950055,2024-05-18 13:16:00.000000,buồn xa xăm,https://scontent.fhan5-5.fna.fbcdn.net/v/t39.30808-6/444752262_454376340616761_5201373150273198573_n.jpg?stp=dst-jpg_s640x640&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFExC-Muz2wshVsrEp-JXeHlq5j6oUIXc2WrmPqhQhdzT-O7hpyNB19mIpGWY51LA9nCjc7dQJWR7r1oUVniIJ4&_nc_ohc=Edd6rplURmsQ7kNvgH9qbCi&_nc_zt=23&_nc_ht=scontent.fhan5-5.fna&cb_e2o_trans=q&oh=00_AYDh-rR7Rx6uprlCOvcXYL21IpcPrKgSW66zxXq65B8liQ&oe=6652887A
EnComics,453895583998170,https://facebook.com/453895583998170,2024-05-17 19:49:00.000000,Đã ko giúp lại còn đuổi người ta!?!,https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/436001772_453895350664860_335802332851396851_n.jpg?stp=dst-jpg_s640x640&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHN2-awPenwVDpyiEzhJcufibTolACNEH-JtOiUAI0Qf8ZtnpQbakeyK4lgjQSarDHHpblFgET4WbSN-zZ-Dtcp&_nc_ohc=GnxCQIrntVYQ7kNvgHdpyUV&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYDEQj9EfmtRKAbMptIMuXyhKmFBtf6iwJ69qGBOWgirRQ&oe=665277DD
EnComics,453203817400680,https://facebook.com/453203817400680,2024-05-16 20:04:00.000000,"Bé giờ cứ tưởng mình là chim, hoá ra khỉ! ",https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/444761493_453203744067354_848942692921186196_n.jpg?stp=dst-jpg_s640x640&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeG4u3za_D7uD4As8t66yk2iS3e9yCuBbddLd73IK4Ft10v26jsxZSecTq9dlKKem9kekjRWsMis680SosyPoWAs&_nc_ohc=rMdE3e1eJzwQ7kNvgGiHHMc&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYBuk5mD_ygCdv5jd0-v1D5cSrZmXgLwEiu9xwaBB29SYQ&oe=6652A57B   https://static.xx.fbcdn.net/images/emoji.php/v9/t12/1/16/1f989.png   https://static.xx.fbcdn.net/images/emoji.php/v9/tae/1/16/1f435.png
EnComics,453138700740525,https://facebook.com/453138700740525,2024-05-16 18:03:00.000000,thợ vẽ lành nghề,https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/443944227_453138530740542_8384313777884518847_n.jpg?stp=dst-jpg_s640x640&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHg1vyCsSLONwPqad_5JqwK9lKFfFj9pqz2UoV8WP2mrB6poxMGiygZq4lIVBwdQwVgIYXEwAFJ4HedjBWmdBYr&_nc_ohc=xJF-7mcdroIQ7kNvgEswJvt&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYAKCRSSEpFOGYjxr2q44s0KGxxNnTrSFfNdtMBd7ra28g&oe=665273C7
ThoBayMau,925162005841199,https://facebook.com/925162005841199,2024-01-02 19:00:00,"Ông nội tưởng ổng đau bụng đi cầu, nhưng ko ổng bị đau dạ dày do nhậu nhìu quá thui, uống ngay 1 gói thuốc dạ dày chữ Y là ông t đỡ rồi.",https://scontent.fhan5-7.fna.fbcdn.net/v/t39.30808-6/414961062_925161979174535_7861792180853297813_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEL_75h5jsR2l9T_rgah1mK09RuosEgWiDT1G6iwSBaIEekxXwRJwG7YZ5U_js4pgpn_hMIZRrzx8SiFy_YbfJK&_nc_ohc=8xvK3MAZzp4Q7kNvgHZ4cYw&_nc_zt=23&_nc_ht=scontent.fhan5-7.fna&cb_e2o_trans=q&oh=00_AYC01rIdxqRXWmytaHe63bmCUvj9nkJ3590z6-40aBl_xA&oe=66529D37
